,open,high,low,close,volume,adj_close
2026-05-07,492.7,503.52,492.7,500.94,4964090,500.94
2026-05-08,500.13,500.41,491.7275,495.48,4143614,495.48
2026-05-11,495.0,501.655,492.01,497.81,3959768,497.81
2026-05-12,500.61,506.31,499.75,499.81,3296342,499.81
2026-05-13,495.61,498.6,490.32,490.64,3322778,490.64
2026-05-14,491.28,494.5,488.01,489.94,2584949,489.94
2026-05-15,493.5,502.275,492.33,494.2,3416526,494.2
2026-05-18,491.49,506.23,490.95,505.79,4076649,505.79
2026-05-19,507.56,512.9,498.5,499.7,3378299,499.7
2026-05-20,493.5,499.7,490.8,498.04,3613218,498.04
2026-05-21,496.0,501.38,490.07,499.62,2474914,499.62
2026-05-22,499.11,504.26,497.32,498.54,1959481,498.54
2026-05-26,496.0,496.8499,492.06,493.01,1948492,493.01
2026-05-27,493.01,499.35,492.51,495.04,2835127,495.04
2026-05-28,493.34,494.58,486.35,493.75,3924792,493.75
2026-05-29,494.5,500.11,492.835,493.98,5693541,493.98
2026-06-01,494.25,497.13,488.65,495.25,4653369,495.25
2026-06-02,493.06,493.99,477.68,477.68,4858603,477.68
