,open,high,low,close,volume,adj_close
2026-05-29,180.24,194.1448,180.02,191.1,33998871,191.1
2026-06-01,198.75,211.34,198.21,209.6,27594795,209.6
2026-06-02,201.02,204.39,195.76,200.84,19216627,200.84
2026-06-03,197.27,197.68,189.73,190.61,14154391,190.61
2026-06-04,197.81,198.09,186.11,188.75,14453550,188.75
2026-06-05,189.8,192.51,184.83,185.66,13183928,185.66
2026-06-08,183.91,185.02,181.71,182.55,11177766,182.55
2026-06-09,179.5,182.46,171.56,175.35,15427785,175.35
2026-06-10,170.6,175.53,170.03,170.92,10820543,170.92
2026-06-11,168.27,168.98,163.31,166.45,16666029,166.45
2026-06-12,164.74,166.54,161.4,165.89,13589398,165.89
2026-06-15,166.03,169.9458,164.17,164.55,13541806,164.55
2026-06-16,164.055,166.3,160.5,161.71,16385305,161.71
2026-06-17,160.25,161.4274,154.23,155.02,19986161,155.02
2026-06-18,152.73,154.47,149.8,151.78,57940830,151.78
2026-06-22,150.16,153.87,146.32,150.12,20502834,150.12
2026-06-23,151.65,155.18,150.85,153.42,20720688,153.42
2026-06-24,151.81,157.06,150.4,152.76,13146831,152.76
2026-06-25,150.01,154.0,148.78,150.19,11334729,150.19
2026-06-26,151.49,158.46,151.49,158.37,21267939,158.37
2026-06-29,160.27,161.76,157.7,157.93,12664074,157.93
2026-06-30,155.09,157.69,154.07,156.66,13690515,156.66
2026-07-01,162.22,165.81,161.2,163.23,14164644,163.23
2026-07-02,163.0,167.21,162.0,166.11,10493199,166.11
2026-07-06,163.99,167.7219,162.37,165.65,10595529,165.65
2026-07-07,169.22,172.38,167.681,169.52,13057946,169.52
2026-07-08,167.37,167.53,164.78,166.58,9792382,166.58
2026-07-09,158.33,163.7999,156.48,162.5,13858605,162.5
2026-07-10,165.6,166.3,162.42,163.32,8321511,163.32
2026-07-13,165.92,172.76,165.92,171.22,14020677,171.22
2026-07-14,162.49,171.35,161.47,167.56,13507926,167.56
2026-07-15,170.52,172.8,166.56,167.0,13328089,167.0
2026-07-16,170.84,174.54,166.88,172.68,12057492,172.68
2026-07-17,171.5,175.43,169.7504,170.77,10191465,170.77
2026-07-20,167.86,175.39,166.495,173.79,13426526,173.79
2026-07-21,167.06,172.425,166.93,170.06,12831764,170.06
2026-07-22,169.47,169.57,162.21,163.0,12194506,163.0
2026-07-23,165.05,165.88,155.145,156.93,12774982,156.93
2026-07-24,160.38,164.45,159.55,163.66,10899068,163.66
2026-07-27,168.0,176.9488,167.14,173.6,17317431,173.6
2026-07-28,176.905,184.54,176.905,181.5,17204648,181.5
2026-07-29,182.01,190.18,182.01,188.38,18139477,188.38
2026-07-30,180.99,182.5078,175.9,180.71,12189410,180.71
2026-07-31,177.695,184.45,177.0253,184.02,9691524,184.02
2026-08-03,188.99,193.7,185.9,185.95,12908027,185.95
2026-08-04,183.09,191.285,183.0,190.99,9326930,190.99
2026-08-05,193.28,194.94,190.425,192.98,9605450,192.98
2026-08-06,183.44,187.02,183.0,186.77,13297636,186.77
2026-08-07,191.09,194.7,190.6,192.74,11392789,192.74
2026-08-10,190.17,198.184,190.0,197.51,9706611,197.51
2026-08-11,196.94,199.39,195.5001,197.47,11171642,197.47
2026-08-12,192.0,196.5,191.78,193.32,12787896,193.32
2026-08-13,196.835,202.99,191.39,201.37,15058682,201.37
2026-08-14,202.75,204.4,195.32,196.21,8664790,196.21
2026-08-17,193.83,194.94,189.91,190.97,14378800,190.97
2026-08-18,194.09,199.41,193.23,196.14,14152940,196.14
2026-08-19,194.21,207.95,194.21,206.09,17843612,206.09
2026-08-20,205.22,207.8795,203.0,205.43,11482298,205.43
2026-08-21,205.58,211.07,204.7261,209.17,9685429,209.17
2026-08-24,208.42,213.17,207.39,209.06,9586822,209.06
2026-08-25,205.85,210.31,204.76,205.69,10089513,205.69
2026-08-26,199.94,206.44,198.95,205.62,14888872,205.62
2026-08-27,230.05,254.48,230.05,252.05,55517471,252.05
2026-08-28,250.47,263.53,249.0,256.0,34362722,256.0
2026-08-31,254.39,262.28,254.39,257.54,22471492,257.54
2026-09-01,255.01,262.32,254.25,258.11,15897531,258.11
2026-09-02,259.38,264.55,253.6,256.93,14393707,256.93
2026-09-03,261.98,268.27,261.6,264.43,14905853,264.43
